# id_tile ra dec pos isky texp texp_ob tob_len irank ntile
   -20478    80.5541  -69.7059   187.34  1  20.91 61.91  70.01  2  3 
    -2066    80.5541  -69.7059   187.34  1  20.09 61.91  70.01  3  3 
     -243   148.7440  -50.3129   169.06  3   7.00 21.76  27.33  1  2 
   -12473   148.7440  -50.3129   169.06  3  14.76 21.76  27.33  2  2 
     -244   251.7244   -1.2001    16.47  3  19.23 19.23  22.26  1  1 
     -245    74.3041  -18.5240     3.12  1  20.14 20.14  23.18  1  1 
     -246   230.1670  -37.6241   187.51  3  11.00 26.90  32.47  1  2 
   -22995   230.1670  -37.6241   187.51  3  15.90 26.90  32.47  2  2 
     -248    53.1069  -28.0913   209.65  1  20.88 62.58  70.68  1  3 
   -30144    53.1069  -28.0913   209.65  1  20.89 62.58  70.68  2  3 
   -27887    53.1069  -28.0913   209.65  1  20.82 62.58  70.68  3  3 
     -249   340.1857  -33.6106   165.73  1  20.97 41.65  47.22  1  2 
   -22579   340.1857  -33.6106   165.73  1  20.68 41.65  47.22  2  2 
     -250   319.8005  -68.9410   197.01  1  20.21 20.21  23.24  1  1 
     -251   133.3316   -0.3534    24.02  1  20.67 20.67  23.70  1  1 
     -252    18.4582  -27.3352   161.02  1  20.89 20.89  23.92  1  1 
     -253    53.3023  -41.6202   163.90  1  20.05 20.05  23.09  1  1 
     -254    53.6656  -61.2251   202.96  1  20.62 20.62  23.66  1  1 
     -255     2.7727  -37.5160   172.77  1  20.95 20.95  23.99  1  1 
     -257   176.1845  -55.1593   206.96  4   4.38 10.25  15.82  1  2 
     -258   176.1845  -55.1593   206.96  4   5.87 10.25  15.82  2  2 
     -259   255.4440   -0.0573    29.54  1  20.47 20.47  23.50  1  1 
     -260   214.8511   -3.1518   354.08  1  20.30 20.30  23.33  1  1 
     -261   331.0200  -28.6204   161.21  1  20.78 20.78  23.81  1  1 
     -265   263.6037  -39.7754   152.01  1  20.88 20.88  23.91  1  1 
     -266   101.9629   -8.3660     3.63  3  18.38 18.38  21.42  1  1 
     -267   136.8412   18.2056    23.90  4   9.57 29.49  37.59  1  3 
    -4260   136.8412   18.2056    23.90  4   9.94 29.49  37.59  2  3 
     -270   136.8412   18.2056    23.90  4   9.98 29.49  37.59  3  3 
     -271   113.4412   -7.9150     3.15  4   4.32 15.62  23.72  1  3 
     -273   113.4412   -7.9150     3.15  4   4.15 15.62  23.72  2  3 
     -272   113.4412   -7.9150     3.15  4   7.15 15.62  23.72  3  3 
     -274   137.5864  -37.6473   203.50  3  11.74 11.74  14.77  1  1 
     -275   111.0775  -17.5011   339.27  4   7.74 25.73  36.36  1  4 
    -7798   111.0775  -17.5011   339.27  4   4.63 25.73  36.36  2  4 
    -7797   111.0775  -17.5011   339.27  4   4.04 25.73  36.36  3  4 
    -7802   111.0775  -17.5011   339.27  4   9.31 25.73  36.36  4  4 
     -276   190.7669  -48.5513   189.50  4   4.17 14.49  22.59  1  3 
    -1873   190.7669  -48.5513   189.50  4   4.03 14.49  22.59  2  3 
    -1874   190.7669  -48.5513   189.50  4   6.28 14.49  22.59  3  3 
     -277   201.3617  -48.0161   153.95  1  20.99 20.99  24.02  1  1 
     -278   333.8559  -59.1222   188.49  1  20.37 20.37  23.41  1  1 
     -279     9.8182  -39.4876   206.55  3  10.53 38.60  46.70  1  3 
     -283     9.8182  -39.4876   206.55  3   7.44 38.60  46.70  2  3 
     -281     9.8182  -39.4876   206.55  3  20.63 38.60  46.70  3  3 
     -282    50.7741  -28.1624   155.39  2  18.96 18.96  21.99  1  1 
     -284    69.8583   19.5034     7.14  4   4.81 13.01  21.11  1  3 
     -285    69.8583   19.5034     7.14  4   4.18 13.01  21.11  2  3 
     -286    69.8583   19.5034     7.14  4   4.02 13.01  21.11  3  3 
     -287   117.5730  -27.6406   189.76  3   7.75 51.24  64.40  1  5 
     -296   117.5730  -27.6406   189.76  3  12.45 51.24  64.40  2  5 
     -295   117.5730  -27.6406   189.76  3  14.39 51.24  64.40  3  5 
     -297   117.5730  -27.6406   189.76  3   9.56 51.24  64.40  4  5 
   -18512   117.5730  -27.6406   189.76  3   7.09 51.24  64.40  5  5 
     -288   302.7841  -32.4487   154.69  1  20.11 20.11  23.14  1  1 
     -289   299.5938  -56.2463   185.71  1  20.32 20.32  23.36  1  1 
     -291     7.4093  -74.5467   191.73  1  20.60 20.60  23.64  1  1 
     -292    68.1813  -41.5573   177.59  2  18.21 18.21  21.24  1  1 
     -293   295.5265  -62.5700   159.35  1  20.56 20.56  23.59  1  1 
     -294    57.2363  -75.0737   168.25  1  20.77 20.77  23.80  1  1 
     -298   190.9433  -29.6229   192.20  3   7.40 27.44  33.01  1  2 
     -300   190.9433  -29.6229   192.20  3  20.04 27.44  33.01  2  2 
     -299   284.8551  -62.3156   155.74  3  18.88 30.31  35.88  1  2 
   -29485   284.8551  -62.3156   155.74  3  11.43 30.31  35.88  2  2 
     -302   101.6945  -46.4796   180.21  4   4.76 24.72  37.88  1  5 
     -304   101.6945  -46.4796   180.21  4   4.10 24.72  37.88  2  5 
     -306   101.6945  -46.4796   180.21  4   7.77 24.72  37.88  3  5 
    -1788   101.6945  -46.4796   180.21  4   4.01 24.72  37.88  4  5 
     -308   101.6945  -46.4796   180.21  4   4.08 24.72  37.88  5  5 
     -305   253.4339  -62.7086   150.03  3   7.57 30.44  41.07  1  4 
   -40024   253.4339  -62.7086   150.03  3   7.49 30.44  41.07  2  4 
   -40025   253.4339  -62.7086   150.03  3   7.43 30.44  41.07  3  4 
   -40026   253.4339  -62.7086   150.03  3   7.96 30.44  41.07  4  4 
     -307    19.6053  -34.1086   168.37  3  20.53 20.53  23.57  1  1 
     -309   280.6137  -63.7611   162.31  1  20.08 20.08  23.11  1  1 
     -310    45.3949  -14.7611   344.48  1  20.52 20.52  23.55  1  1 
     -311   334.0480  -34.6709   192.42  2  20.65 20.65  23.69  1  1 
     -312   356.5891  -41.9513   171.03  1  20.26 20.26  23.29  1  1 
     -315   178.1322  -77.4996   207.82  1  20.99 20.99  24.02  1  1 
     -316     9.8606  -44.0201   170.10  1  20.79 20.79  23.82  1  1 
     -317   309.6746   -7.0917    26.36  2  18.28 18.28  21.31  1  1 
     -318   137.7602  -20.8427    14.34  3   8.32 41.26  49.36  1  3 
   -20002   137.7602  -20.8427    14.34  3  12.86 41.26  49.36  2  3 
   -30897   137.7602  -20.8427    14.34  3  20.08 41.26  49.36  3  3 
     -320    72.9578  -77.5575   207.80  3  16.08 16.08  19.11  1  1 
     -321   261.7973  -45.3145   154.99  2  17.21 36.71  42.28  1  2 
   -33349   261.7973  -45.3145   154.99  2  19.50 36.71  42.28  2  2 
     -322   339.6009  -34.5556   158.64  1  20.89 20.89  23.92  1  1 
     -323   234.3932  -77.2248   181.07  1  20.87 20.87  23.91  1  1 
     -324   276.3780  -35.7476   153.51  1  20.59 20.59  23.63  1  1 
     -325   356.4203  -14.5501    20.65  2  17.90 17.90  20.93  1  1 
     -326   292.6506  -67.0052   193.14  3  14.03 14.03  17.06  1  1 
     -327   246.9333   -3.8126     2.58  3  10.78 10.78  13.82  1  1 
     -328   301.0023   -8.2919   356.03  3   9.72 29.22  34.79  1  2 
     -329   301.0023   -8.2919   356.03  3  19.50 29.22  34.79  2  2 
     -330    98.3322  -36.7536   151.04  2  17.92 17.92  20.95  1  1 
     -332   227.7627  -27.0427   207.61  3   8.63 53.54  66.70  1  5 
     -336   227.7627  -27.0427   207.61  3  19.25 53.54  66.70  2  5 
     -335   227.7627  -27.0427   207.61  3   7.39 53.54  66.70  3  5 
     -334   227.7627  -27.0427   207.61  3   7.03 53.54  66.70  4  5 
     -333   227.7627  -27.0427   207.61  3  11.23 53.54  66.70  5  5 
     -337    73.5173  -66.3862   198.29  1  20.75 40.86  46.42  1  2 
     -820    73.5173  -66.3862   198.29  1  20.11 40.86  46.42  2  2 
     -339    67.4713  -22.4265    22.18  3   7.27  7.27  10.30  1  1 
     -340   169.3039  -30.7206   199.01  3   7.06 20.41  25.98  1  2 
     -342   169.3039  -30.7206   199.01  3  13.35 20.41  25.98  2  2 
     -343   343.0732   -1.9592   331.52  3   8.10  8.10  11.14  1  1 
     -345   266.7038  -22.2825   340.13  1  20.22 20.22  23.25  1  1 
     -346   219.8022   -1.0688   344.69  1  20.48 41.30  46.87  1  2 
   -43366   219.8022   -1.0688   344.69  1  20.82 41.30  46.87  2  2 
